category,file,frames_processed,frames_with_pose,detection_rate,error
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_7.MOV,480,480,100.0,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_8.mp4,249,246,98.8,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_9.mp4,141,87,61.7,
hip_thrust,arc2_hip_thrust_1.MOV,411,363,88.32,
hip_thrust,arc2_hip_thrust_10.mp4,381,381,100.0,
hip_thrust,arc2_hip_thrust_13.mp4,144,134,93.06,
hip_thrust,arc2_hip_thrust_17.mp4,73,73,100.0,
hip_thrust,arc2_hip_thrust_2.MOV,487,296,60.78,
hip_thrust,arc2_hip_thrust_3.MOV,455,453,99.56,
hip_thrust,arc2_hip_thrust_4.MOV,547,547,100.0,
hip_thrust,arc2_hip_thrust_6.mp4,113,112,99.12,
hip_thrust,arc2_hip_thrust_7.mp4,299,298,99.67,
hip_thrust,arc2_hip_thrust_8.mp4,150,150,100.0,
hip_thrust,arc2_hip_thrust_9.mp4,389,389,100.0,
incline_bench_press,arc2_incline_bench_press_1.mp4,120,119,99.17,
incline_bench_press,arc2_incline_bench_press_10.mp4,65,64,98.46,
incline_bench_press,arc2_incline_bench_press_11.mp4,52,52,100.0,
incline_bench_press,arc2_incline_bench_press_12.mp4,65,15,23.08,
incline_bench_press,arc2_incline_bench_press_13.mp4,47,16,34.04,
incline_bench_press,arc2_incline_bench_press_14.mp4,74,74,100.0,
incline_bench_press,arc2_incline_bench_press_15.mp4,87,87,100.0,
incline_bench_press,arc2_incline_bench_press_16.mp4,62,61,98.39,
incline_bench_press,arc2_incline_bench_press_17.mp4,75,74,98.67,
incline_bench_press,arc2_incline_bench_press_18.mp4,110,108,98.18,
incline_bench_press,arc2_incline_bench_press_19.mp4,85,85,100.0,
incline_bench_press,arc2_incline_bench_press_2.mp4,62,56,90.32,
incline_bench_press,arc2_incline_bench_press_20.mp4,93,93,100.0,
incline_bench_press,arc2_incline_bench_press_21.mp4,94,94,100.0,
incline_bench_press,arc2_incline_bench_press_22.mp4,72,72,100.0,
incline_bench_press,arc2_incline_bench_press_23.mp4,99,98,98.99,
incline_bench_press,arc2_incline_bench_press_24.mp4,78,77,98.72,
incline_bench_press,arc2_incline_bench_press_25.mp4,74,74,100.0,
incline_bench_press,arc2_incline_bench_press_26.mp4,989,955,96.56,
incline_bench_press,arc2_incline_bench_press_27.mp4,747,703,94.11,
incline_bench_press,arc2_incline_bench_press_28.mp4,792,766,96.72,
incline_bench_press,arc2_incline_bench_press_29.mp4,137,137,100.0,
